comment,is_troll
"Solid content talaga, pabor ito!",0
DELAWAN PROPAGANDA!!!!! 🤮🤮🤮,1
wala talagang kwenta tong content na to,1
Bago lang ako dito sa channel mo.,0
ang PANGIT ng content mo!!! please lang wag na mag post,1
didn't ask + ratio + you fell off,1
"I really enjoyed your content, very helpful!",0
respeto na lang po sa presidente!!! HATER!!!,1
"Ang husay ng presentation, good job!",0
"Galing mo talaga, keep it up!",0
"Napaisip ako dito ah, interesting.",0
cringe talaga you should just stop,1
DIEHARD BBM KAMI DEAL WITH IT!!!,1
yikes... this ain't it chief 😬,1
Medyo similar ito sa nakita ko before pero okay pa rin.,0
Bili na ng PESO FARM ACCOUNT!!! PM me!!!,1
this flopped hard lol 😂,1
BWISIT NAMAN OO!!! nakaka inis ka talaga,1
"Thank you sa information, very useful!",0
Nakita ko lang to sa FYP ko.,0
parang tanga lang? bat ka ganyan?,1
Di ko pa napapanood yung buong series.,0
dilawan ka siguro kaya ganyan ka mag-isip,1
this is absolute GARBAGE content unfollow immediately 🗑️,1
I'm curious kung ano next topic mo.,0
KADIRI TALAGA TONG TAO NA TO 🤮🤮🤮,1
"May point ka naman, but I need to research pa.",0
I've been following this topic for a while.,0
BORING!!! make better content please,1
your followers must be bots because this is terrible,1
mid content as usual 🥱,1
"First time ko to napanood, interesting.",0
Sobrang nakakatuwa yung content mo.,0
Does anyone know the song at 2:15?,0
wag na please this is embarrassing yourself,1
you need to STOP NA!!! nakakahiya ka,1
This is exactly what I needed to see today.,0
Sino dito fan from day one? Just curious.,0
lutang supporter ka talaga no? 🤣,1
THIS IS THE WORST VIDEO EVER MADE!!! 🤬🤬🤬,1
bakit ganito content mo? so disappointing,1
BASURA CONTENT!!! wag na mag post,1
HAHAHA BOBO NAMAN NITO!!! you don't know anything 🤡🤡🤡,1
bobo amputa di mo ba alam ginagawa mo???,1
Watching this during my lunch break.,0
"Your energy is so nakakahawa, love watching!",0
Nag scroll lang ako tapos nakita ko to.,0
puppet ka lang ng mga komunista 🤡,1
your face is so PANGET hahaha kadiri talaga 🤮,1
imagine thinking this is good content 🙄,1
Very informative and well-researched!,0
kalat lang talaga content mo,1
putangina mo talaga napaka walang kwenta,1
Sana all ganito kagaling mag explain.,0
"Salamat sa ₱50,000 daily income!!! Click link now!!",1
Ang ganda ng video mo! Maraming salamat.,0
I HATE YOUR CONTENT pangit talaga 🗑️🗑️🗑️,1
naka umay naman to 🙄,1
You explained this so well! Thank you.,0
get rich quick!!! message me NOW!! 💸💸💸,1
do everyone a favor and STOP POSTING,1
dami satsat wala namang laman,1
SANA ALL EARNING 6 DIGITS!!! Click my profile to know how,1
ang pangit ng content wag na mag upload please,1
"I've learned so much from your videos, thank you!",0
bayaran ka ba ng mga aquino? halata naman,1
