Comment,Processed Comment,Emojis,Demojized,Hashtags,VADER Sentiment,MNB Sentiment,Combined Sentiment,Enhanced Sentiment,Is Troll,Troll Score
Ok paba?,ok paba,,ok paba?,[],Neutral (1.00),Neutral (1.00),Neutral (1.00),Neutral (1.00),True,0.55
pano nalalaman yung percent kapag ginagamit?😭,pano nalalaman yung percent kapag ginagamit loudlycryingface,😭,pano nalalaman yung percent kapag ginagamit? loudly_crying_face ,[],Neutral (0.00),Neutral (0.43),Neutral (0.00),Negative (-0.32),False,0.15
okay padin po ba hanggang ngaun? may nbasa po ako sa comment na nasira n po mga 1months po,okay padin po ba hanggang ngaun may nbasa po ako sa comment na nasira n po mga 1months po,,okay padin po ba hanggang ngaun? may nbasa po ako sa comment na nasira n po mga 1months po,[],Negative (-0.93),Negative (0.48),Negative (-0.56),Positive (0.06),False,0.25
just ordered mine and level 1 palang super keri na! 💯,just ordered mine and level 1 palang super keri na hundredpoints,💯,just ordered mine and level 1 palang super keri na!  hundred_points ,[],Positive (0.64),Positive (0.81),Positive (0.38),Positive (0.81),False,0.15
"helppp, kakadating lang nung akin and balak mag factory charge, so bubuhayin ko ba sya now na agad hanggang ma lowbat or gamitin ko na lang sya pag need hanggang ma lowabat?",helppp kakadating lang nung akin and balak mag factory charge so bubuhayin ko ba sya now na agad hanggang ma lowbat or gamitin ko na lang sya pag need hanggang ma lowabat,,"helppp, kakadating lang nung akin and balak mag factory charge, so bubuhayin ko ba sya now na agad hanggang ma lowbat or gamitin ko na lang sya pag need hanggang ma lowabat?",[],Neutral (0.00),Neutral (0.44),Neutral (0.00),Neutral (0.00),False,0.25
gumagana pa po goojodoq mo?,gumagana pa po goojodoq mo,,gumagana pa po goojodoq mo?,[],Negative (-0.56),Neutral (0.48),Negative (-0.33),Positive (0.29),False,0.25
wow,wow,,wow,[],Positive (0.59),Positive (0.90),Positive (0.35),Positive (0.90),False,0.15
🌷,tulip,🌷, tulip ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
Love the pink🥰,love the pink smilingfacewithhearts,🥰,love the pink smiling_face_with_hearts ,[],Positive (0.64),Positive (0.92),Positive (0.38),Positive (0.92),False,0.15
😳😳😳,flushedface flushedface flushedface,😳😳😳, flushed_face  flushed_face  flushed_face ,[],Neutral (0.00),Positive (0.50),Neutral (0.00),Positive (0.25),False,0.0
